mscn_sol,JPL
mscn,123
lat,
lon,
mscn_area,114867.2792
CRI Filter,land
land_area,69299.7201
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,cmwe
106.5,93.749
129.5,97.865
227.5,82.878
258,80.173
288.5,82.789
319,79.934
349.5,80.036
380.5,77.339
410,74.506
439.5,73.824
470,72.429
495.5,73.138
561.5,58.866
592.5,60.205
623,62.163
653,63.004
684,62.364
714.5,63.267
736.5,62.646
777,62.006
805.5,61.701
836,64.704
866.5,58.87
897,57.918
927.5,56.072
958.5,54.759
989,51.605
1019.5,47
1050,52.052
1080.5,56.903
1111.5,55.989
1141,53.562
1170.5,55.789
1201,53.356
1231.5,52.4
1262,50.058
1292.5,44.061
1323.5,36.015
1354,29.971
1384.5,29.693
1415,30.823
1445.5,32.361
1476.5,27.536
1506,28.532
1535.5,26.085
1566,22.819
1596.5,22.564
1627,21.182
1657.5,15.831
1688.5,10.664
1719,6.747
1749.5,8.492
1780,4.776
1810.5,6.149
1841.5,3.708
1871,4.23
1900.5,0.891
1931,-1.538
1961.5,-2.726
1992,-4.833
2022.5,-10.567
2053.5,-19.403
2084,-22.102
2114.5,-24.083
2145,-25.67
2175.5,-25.435
2206.5,-26.97
2236.5,-28.318
2266.5,-26.993
2297,-30.16
2327.5,-34.612
2358,-33.59
2388.5,-38.035
2419.5,-44.226
2450,-49.258
2480.5,-52.604
2511,-47.693
2541.5,-46.177
2572.5,-46.956
2602,-53.061
2631.5,-56.09
2662,-58.616
2692.5,-61.362
2723,-62.588
2753.5,-68.015
2784.5,-79.628
2815,-86.372
2845.5,-83.516
2876,-83.568
2906.5,-85.753
2937.5,-87.69
2967,-89.2
2996.5,-91.15
3027,-93.204
3057.5,-93.603
3088,-101.046
3118.5,-110.925
3149.5,-119.289
3180,-121.166
3210.5,-122.713
3241,-125.31
3269.5,-126.8
3335.5,-127.871
3361.5,-130.212
3392,-131.549
3422.5,-139.137
3485.5,-153.471
3514.5,-164.369
3545,-166.318
3575.5,-170.818
3591.5,-172.171
3652,-175.316
3667.5,-178.376
3697.5,-178.841
3727.5,-184.533
3746.5,-183.485
3819,-188.455
3849.5,-197.387
3880.5,-208.098
3908,-215.654
3974.5,-213.482
4002.5,-210.834
4033.5,-214.145
4062,-220.747
4128,-223.054
4153.5,-222.004
4184,-221.829
4214.5,-230.889
4306.5,-238.319
4337,-237.335
4367.5,-238.651
4391.5,-241.325
4457.5,-251.388
4488,-251.707
4518.5,-252.138
4546,-253.907
4610.5,-269.068
4641,-266.993
4671.5,-265.744
4703,-267.3
4769.5,-271.989
4793,-270.189
4822.5,-271.154
4853,-278.329
4864,-280.052
4943.5,-290.671
4975.5,-293.147
5004.5,-295.89
5104.5,-294.071
5128.5,-294.104
5157,-298.494
5188.5,-302.146
5253,-300.521
5280,-296.925
5309.5,-303.312
5346.5,-315.621
5444.5,-311.09
5471.5,-310.793
5499,-309.51
5568.5,-316.332
5592.5,-319.805
5610.5,-318.016
5640,-310.576
