mscn_sol,JPL
mscn,213
lat,
lon,
mscn_area,113393.5974
CRI Filter,land
land_area,98979.5135
Solution,JPL RL06M v01 Mascons
Acknowledgement,"GRACE land are available at http://grace.jpl.nasa.gov, supported by the NASA MEaSUREs Program."
Citation 1,"D.N. Wiese. 2015. GRACE monthly global water mass grids NETCDF RELEASE 5.0. Ver. 5.0. PO.DAAC, CA, USA. Dataset accessed 2017-07-01 at http://dx.doi.org/10.5067/TEMSC-OCL05."
Citation 2,"Watkins, M. M., D. N. Wiese, D.-N. Yuan, C. Boening, and F. W. Landerer (2015), Improved methods for observing Earth’s time variable mass distribution with GRACE using spherical cap mascons, J. Geophys. Res. Solid Earth, 120, doi:10.1002/2014JB011547."
Citation 3,"Wiese, D. N., F. W. Landerer, and M. M. Watkins (2016), Quantifying and reducing leakage errors in the JPL RL05M GRACE mascon solution, Water Resour. Res., 52, 7490–7502, doi:10.1002/2016WR019344."
Data Portal,http://ccar.colorado.edu/grace/

days since 1/1/2002,Gt
106.5,45.788
129.5,43.859
227.5,32.012
258,38.019
288.5,40.896
319,47.866
349.5,54.231
380.5,63.307
410,69.259
439.5,77.751
470,86.146
495.5,87.071
561.5,82.18
592.5,74.381
623,65.997
653,66.919
684,66.312
714.5,69.215
736.5,71.135
777,70.087
805.5,72.475
836,75.602
866.5,73.369
897,74.355
927.5,67.554
958.5,56.393
989,49.736
1019.5,49.854
1050,49.988
1080.5,45.105
1111.5,42.909
1141,39.062
1170.5,38.784
1201,44.065
1231.5,42.957
1262,37.227
1292.5,29.378
1323.5,16.637
1354,15.176
1384.5,12.262
1415,10.319
1445.5,9.185
1476.5,5.844
1506,10.306
1535.5,10.293
1566,8.685
1596.5,2.765
1627,1.982
1657.5,-2.09
1688.5,-9.515
1719,-13.263
1749.5,-14.535
1780,-17.002
1810.5,-16.281
1841.5,-11.853
1871,-9.552
1900.5,-9.658
1931,-9.438
1961.5,-10.577
1992,-10.976
2022.5,-18.97
2053.5,-27.434
2084,-31.745
2114.5,-34.553
2145,-32.198
2175.5,-25.331
2206.5,-21.404
2236.5,-21.377
2266.5,-21.746
2297,-21.242
2327.5,-20.643
2358,-23.776
2388.5,-31.306
2419.5,-39.426
2450,-46.086
2480.5,-43.437
2511,-39.383
2541.5,-33.727
2572.5,-30.121
2602,-33.566
2631.5,-32.605
2662,-30.539
2692.5,-26.977
2723,-29.694
2753.5,-36.044
2784.5,-49.282
2815,-51.222
2845.5,-50.546
2876,-47.719
2906.5,-46.651
2937.5,-44.406
2967,-38.074
2996.5,-34.632
3027,-39.294
3057.5,-40.398
3088,-47.373
3118.5,-55.886
3149.5,-65.442
3180,-74.589
3210.5,-73.372
3241,-76.72
3269.5,-76.239
3335.5,-75.543
3361.5,-77.363
3392,-80.801
3422.5,-78.572
3485.5,-88.513
3514.5,-95.502
3545,-104.317
3575.5,-109.097
3591.5,-107.663
3652,-104.19
3667.5,-100.466
3697.5,-102.101
3727.5,-99.307
3746.5,-98.052
3819,-105.514
3849.5,-107.659
3880.5,-137.203
3908,-139.587
3974.5,-138.982
4002.5,-133.996
4033.5,-130.97
4062,-127.528
4128,-120.786
4153.5,-118.191
4184,-119.872
4214.5,-128.006
4306.5,-138.308
4337,-138.022
4367.5,-137.807
4391.5,-135.573
4457.5,-121.928
4488,-120.236
4518.5,-119.621
4546,-124.034
4610.5,-133.25
4641,-139.881
4671.5,-138.385
4703,-142.169
4769.5,-138.269
4793,-131.203
4822.5,-140.878
4853,-128.936
4864,-132.019
4943.5,-127.925
4975.5,-132.934
5004.5,-136.889
5104.5,-131.793
5128.5,-125.601
5157,-130.284
5188.5,-130.355
5253,-129.201
5280,-128.565
5309.5,-139.147
5346.5,-157.218
5444.5,-153.679
5471.5,-154.228
5499,-150.214
5568.5,-145.172
5592.5,-142.491
5610.5,-139.023
5640,-145.062
